Date,Firearm,Rounds,Range,Ammo,Notes
2020-03-05,RPRimfire,50,Phoenix,Winchester M22,"Could fire 10 rounds (2rnd at 5 targets) in about 52 seconds. About 1/2 the groups hit high, but grouped well."
2020-03-14,RPRimfire,55,SPFGA,Federal Black Pack 36gr HP,Zero'd the scope & dials for 50m.  Temp was -12. Started using the chamber brush as a chamber flag.
2020-03-19,SKS,60,SPFGA,Milsurp,Zero'd the TRS-25 for 100m after putting in a wood stock
2020-03-19,RPRimfire,40,SPFGA,Federal Black Pack 36gr HP,"Shot at 100m. +5.75 MOA, or hold at the 6MOA hash"
2020-03-20,SKS,50,SFPGA,Milsurp,Had to re-zero after moving the TRS-25 back a bit. It was too far forward and could not disassemble the gas assembly.
2020-03-20,RPRimfire,100,SPFGA,Sterling Cross,Shooting at 100m.  +8.25MOA.  Needed about -2MOA wind.  Blowing left to right; could feel the gusts on the face.
2020-03-23,Israeli 98K,50,SPFGA,Barnes 180gr TSX handloads,OCW testing with Barnes 180gr TSX.  45.0 gr seemed to work best.  Zero'd scope for this load.
2020-05-20,RPRimfire,80,SPFGA,Sterling Cross,"Zeroed for 50m.  +1MOA/-1MOA on the scope.  Shot at 100m, and had +8.25MOA/-1.0MOA on the scope.  Best group at 100 was 3 shots, just over 1"" in size."
2020-05-23,RPRimfire,100,SPFGA,Sterling Cross,"Shooting at 100m.  +8MOA.  Heavy wind, from 0MOA to +4MOA.  +5 C"
2020-05-28,GSG STG-44,100,SPFGA,Winchester M22,Zeroing the Bushnell 2-7
2020-05-28,GSG STG-44,45,SPFGA,Federal Black Pack 36gr HP,Zeroing the Bushnell 2-7
2020-05-30,RPRimfire,45,SPFGA,Sterling Cross,ORPS
2020-06-08,RPRimfire,60,SPFGA,Sterling Cross,Shooting at 200m.  Group size 1.5MOA.  Shooting at 100M was +7 MOA/-1MOA
2020-06-08,GSG STG-44,70,SPFGA,Federal Black Pack 36gr HP,Shooting at 200m was horrible.  Shooting at 100m was bad.  Need to try different ammo.
2020-06-11,RPRimfire,0,,,Cleaning the bore and chamber. 
2020-06-11,GSG STG-44,0,,,Cleaning
2020-06-12,G17,90,CHAS,"121 gr & 124gr, 4.5 gr HP-38",3-gun
2020-06-12,GSG STG-44,100,CHAS,Federal Black Pack 36gr HP,3-gun
2020-06-12,SXP,90,CHAS,Challenger #7.5,3-gun
2020-07-01,G41,200,Phoenix,"230gr Campro, 4.5gr HP-38",Shooting at 7m.  Draw from holster.  Single & double taps. Lots of rounds that didn't properly cycle
2020-06-23,Remington 597,0,,,Mounted the scope.
2020-07-18,Remington 597,80,CHAS,Federal Black Pack 36gr HP,Getting a rough zero at 50m
2020-07-25,RPRimfire,40,SPFGA,Sterling Cross,Just having fun at 50m.  Need to hold left 2MOA with wind?
2020-07-25,G41,20,SPFGA,"230gr CamPro, 6.1gr 800x",Labradar (velocity data)
2020-07-25,G41,20,SPFGA,"230gr CampPro, 4.5gr HP-38",Labradar (velocity data)
2020-07-25,G17,20,SPFGA,"124gr CamPro, 4.5gr HP-38",Labradar (velocity data)
2020-07-25,G41,50,SPFGA,"230gr CampPro, 4.5gr HP-38",MP Garnett Genuis
2020-07-25,G17,60,SPFGA,"124gr CamPro, 4.5gr HP-38",MP Garnett Genuis
2020-07-25,Israeli 98K,9,SPFGA,"180gr Barnes TSX, 45gr IMR 4895","Labradar Series 001, 2431fps"
2020-07-30,RPRimfire,25,SPFGA,Aguila 38gr Super Extra HP,"Labrader, 1199 fps avg"
2020-07-30,RPRimfire,20,SPFGA,Federal Black Pack 36gr HP,"Labradar, 1337 fps "
2020-07-30,RPRimfire,45,SPFGA,Sterling Cross,"Labrader, 1116 fps"
2020-08-06,G41,40,SPFGA,Federal 230gr Factory,"Labradar Series 009, 750fps"
2020-08-06,G41,20,SPFGA,"230gr Campro, 4.2gr Bullseye","Labradar Series 010, 636fps"
2020-08-06,G41,90,SPFGA,Assorted,Zeroing the Vortex Venom 3MOA. Shooting at 25/15/7 to get a feel for it.
2020-08-06,G17,130,SPFGA,"121gr & 124gr Campro, 4.5gr HP-38","Labradar Series 011, 1026fps"
2020-08-06,Remington 597,80,SPFGA,Federal Black Pack 36gr HP,Zeroing the scope.
2020-08-06,RPRimfire,25,SPFGA,Sterling Cross,Labradar Series 012.  1115fps
2020-08-06,RPRimfire,31,SPFGA,Federal Black Pack 36gr HP,"Labradar Series 013, 1305fps"
2020-08-08,RPRimfire,20,SPFGA,Aguila 38gr Super Extra HP,"Labradar Series 014, 1172fps"
2020-08-14,G41,80,Phoenix,"230gr Campro, 6.1gr 800-X",7 yards.  Draw and shoot 1 or 2 rounds with the new RDS
2020-08-14,G41,31,Phoenix,"230gr Campro, I think 4.2gr of Bullseye",7 yards.  Draw and shoot 1 or 2 rounds with the new RDS
2020-08-16,G41,100,SPFGA,230gr Campro.  4.5gr Bullseye,7 yards.  Draw and shoot 1 or 2 rounds.  I seem to always hit low? Labradar Series 015.  705fps.
2020-08-28,G17,170,CHAS,"121gr & 124gr Campro, 4.5gr HP-38",Team building w/Stephen & Jay
2020-08-28,M96,18,CHAS,107gr?,Just plinking at 100 & 200
2020-08-28,Israeli 98K,45,CHAS,"150gr  Hornady & Speer Soft point, 47gr IMR-4895","With the 180gr zero, needed to come up 3MOA.  I think I was getting hits out to 400"
2020-08-29,Israeli 98K,4,SPFGA,"150gr  Hornady & Speer Soft point, 47gr IMR-4895","Tried to get the MV, but had the Labradar misconfigured."
2020-08-29,M96,5,SPFGA,,Labradar Series
2020-08-29,M96,5,SPFGA,,Labradar Series
2020-08-29,M96,5,SPFGA,,Labradar Series
2020-08-29,Israeli 98K,5,SPFGA,170gr Federal,
2020-09-05,RPRimfire,124,SPFGA,Sterling Cross,CRPS Match #9.  Kestrel was pretty accurate.  I made some pretty boneheaded mistakes though.
2020-09-06,GSG STG-44,200,SPFGA,Aguila,Rimfire Raceguns. Not the sport for a 2x magnified optic.
2020-09-17,G17,225,SPFGA,"121gr & 124gr Campro, 4.5gr HP-38",Braeden shooting
2020-09-17,SKS,65,SPFGA,Norinco ammo,Shooting at 50m with Braeden.
2020-09-21,G17,225,SPFGA,"121gr & 124gr Campro, 4.5gr HP-38",Braeden shooting
2020-09-21,G41,150,SPFGA,230gr Campro.  4.5gr Bullseye,Seemed that every round needed to be manually cycled.
2020-10-25,Grey Birch,40,Phoenix,Sterling Cross,Zeroing the scope.
2020-10-29,Grey Birch,20,Phoenix,Aguila,Was shooting fast. I think this ammo has promise
2020-10-29,Grey Birch,100,Phoenix,Sterling Cross,
2020-10-29,Grey Birch,60,Phoenix,Federal 36gr Black Pack,
2020-11-19,Grey Birch,100,Phoenix,Federal 36gr Black Pack,-2.25 MOA/0 MOA.  Not bad groups.  
2020-11-19,Grey Birch,49,Phoenix,Aguila,-2.25 MOA/0 MOA.  Grouped the worse
2020-11-19,Grey Birch,60,Phoenix,Sterling Cross,-1.5MOA/-0.25MOA.  Seemed to have good groups.  10 rounds and everything is in a 1.5MOA circle.
2020-11-28,Israeli 98K,24,SPFGA,"180gr Nosler Ballistic Tip, 45.0gr IMR 4895, 3.850""","-2.5C, 65% humidity, 705m"
2020-11-28,Israeli 98K,12,SPFGA,"180gr Barnes TSX, 45.0gr IMR 4895",
2020-11-28,Israeli 98K,9,SPFGA,"170gr Hornandy RN, 46.8gr IMR 4895",Pressure signs - primer's backed out a bit.
2020-11-28,Israeli 98K,21,SPFGA,"170gr CIL, 46.8gr IMR 4895",
2020-12-06,M96,30,SPFGA,"140gr, ~35.0gr IMR 4895",Shooting to zero the Bushnell Elite 10x
2020-12-09,Grey Birch,150,Phoenix,Peters .22LR,"Got good groups.  Something happened to the rifle, lost all zero at about 140 rounds. -1.5MOA/+0.75MOA @ 40 yards"
2020-12-09,Grey Birch,15,Phoenix,Sterling Cross,Switch ammo to try and isolate the problem.  Zero is still lost; must be a mechanical failure?
2020-12-09,Grey Birch,0,,,"Cleaning.  Disassembled rifle, remove barrel. WipeOut down the barrel"
2020-12-20,Grey Birch,100,SPFGA,Aguila,Zeroed for 50m.  Seemed to be getting good groups.  Very high winds (forgot my Kestrel).
2020-12-20,Grey Birch,40,SPFGA,Sterling Cross,Adjusted again for 50.  Good groups as well (considering the wind).
2020-12-20,"MRA Renegade 16""",35,SPFGA,.223 Handloads: I think 55gr Lake City with 23.5gr of IMR-4895?,Zeroed at 50m.  Scope was way too low; need better rings
2020-12-26,"MRA Renegade 16""",65,SPFGA,"55gr, 25.4gr H-4895","Put on the Vortex Strike Eagle, zeroed at 50m.  Seems to be a 2MOA shooter, easy"
2020-12-26,Remington 597,30,SPFGA,Peters .22LR,Shooting at 25 & 50m.  The begging job is too tight?  Mags are stiff to insert/pull out.
2020-12-26,GSG STG-44,100,SPFGA,All sorts; mixed bag of left over .22LR,Zeroing the Bushnell TRS-25 for 50m.
2020-12-29,Grey Birch,40,CHAS,Peters .22LR,"Got about 40 rounds through at 100m.  +3.75 MOA elevation, -3MOA wind with the Peters ammo.  After that, it would fire a round, cycle the action.  However the fresh round would not fire.  Had to drop the mag, recock the rifle (the fresh round still in the chamber) and then it would fire."
2020-12-29,Grey Birch,30,CHAS,Sterling Cross,"After that, it would fire a round, cycle the action.  However the fresh round would not fire.  Had to drop the mag, recock the rifle (the fresh round still in the chamber) and then it would fire.  Did this as well with the Sterling Cross ammo."
2020-12-29,Grey Birch,0,,,"Cleaned the rifle. Took it completely apart (barrel and all). Adjusted the scope dials to ""zero""."
2020-12-29,"MRA Renegade 16""",70,CHAS,"55gr, 25.4gr H-4895","First on 100 to check the zero.  Then moved to the Long Range.  200m was easy, pretty sure I was getting hits at 300m.  Couldn't tell with at 400m."
2020-12-29,Israeli 98K,8,CHAS,"180gr Barnes TSX, 45.0gr IMR 4895",The 170gr Hornady RN had feed issues; one got stuck in the chamber.
Date,Firearm,Rounds,Range,Ammo,Notes
2021-01-01,Grey Birch,100,SPFGA,Federal Black Pack 36gr HP,Scope was zeroed using Sterling Cross.  100m - +5.5MOA elevation.  50m -1MOA.   
2021-01-01,Grey Birch,91,SPFGA,Sterling Cross,Zeroed scope..  100m was +7.25MOA
2021-01-04,M96,31,SPFGA,"130gr Hornady ELD Match, ~ 36gr D-4895",Rezeroed the scope for this load @ 100m.  
2021-01-04,"MRA Renegade 16""",30,SPFGA,Norinco,Gathered velocity data mostly.  
2021-01-04,"MRA Renegade 16""",40,SPFGA,"55gr, 25.4gr H-4895",Zeroed at 200m
2021-01-10,Grey Birch,10,SPFGA,Federal Black Pack 36gr HP,"-3C, consistent feed issues.   Was trying to gather velocities with the RAT, didn't work."
2021-01-10,"MRA Renegade 16""",10,SPFGA,"69gr SMK, 23.75gr D-4895",Good results? Small sample though.
2021-01-10,"MRA Renegade 16""",40,SPFGA,"55gr, 24.8gr H-4895",Gathering velocities.  Mark trying out.
2021-01-10,M96,30,SPFGA,"Assorted 140gr, 35.0gr D-4895.","Gathering velocities. Hornady Interlock, SST, and HPBT stuff."
2021-01-17,M96,37,SPFGA,OCW testing with IMR-4895,"Had +2 MOA on the turret.  Could come down 1MOA, then zero them."
2021-01-17,Grey Birch,10,SPFGA,Peter's .22LR,"Used +4MOA elevation. Was hitting ~ 1.25"" right?"""
2021-01-17,Grey Birch,40,SPFGA,Sterling Cross,Was about +7 MOA elevation
2021-01-24,GSG STG-44,120,SPFGA,Federal Black Pack 36gr HP,.22LR Rimfire Raceguns stuff.   -20C.  Rifle worked fine.  Some feed issues that I think were magazine related
2021-01-24,"MRA Renegade 16""",30,SPFGA,??,Adriel demoing the MRA
2021-01-30,Israeli 98K,46,SPFGA,"170gr Hornday RN & 170gr CIL Spitzer, 46.8gr D-4895",The Hornady RN is crap.  Does't group. It seems to hit 4.5 MOA high and 1.5MOA right.
2021-02-28,Israeli 98K,15,SPFGA,170gr CIL Spitzer & 180 Barnes TSX,Gathering some velocity.  -6C
2021-02-28,Remington 597,75,SPFGA,Federal Black Pack 36gr HP,Trying to zero. Lots of light strikes.
2021-03-07,Grey Birch,100,SPFGA,Federal Black Pack 36gr HP,"Zero'd for 50m.  The bolt catch kept engaging the bolt, so this was more like a straight pull .22LR.  Good accuracy, around 0.5"" at 50m"
2021-03-13,Grey Birch,60,SPFGA,Federal Black Pack 36gr HP,First try of the KIDD trigger.  Nice.  Groups seemed better.
2021-03-13,Remington 597,70,SPFGA,Federal Black Pack 36gr HP,"Replace the trigger spring with MCarbo.  Rezeroed, then noticed the scope mount was loose!  Have re-zero.  Labradar Series 36.   1218FPS?"
2021-03-19,Israeli 98K,38,SPFGA,180gr Barnes TSX,Trying to zero at 100m.  Rounds were all over the place.  Will move to a different stock to see if that is the problem.
2021-03-20,"MRA Renegade 16""",45,CHAS,"55gr, 24.8gr H-4895",3-Gun. Ran fine.  Make sure that the mags are seated!
2021-03-20,CZ-85,40,CHAS,Remington 124gr,3-Gun. Went well.
2021-03-20,SXP,35,CHAS,Challeger #7 shot ,3-Gun. Went well.
2021-04-15,G41,31,SPFGA,Assorted 230gr CamPro.,SPFGA Fun Night.
2021-04-17,G41,100,CHAS ,Assorted 230gr CamPro.,3-gun
2021-04-17,SXP,50,CHAS,Challenger #7.5 shot,3-gun
2021-04-17,"MRA Renegade 16""",60,CHAS,55gr handloads,3-gun
2021-04-19,GSG STG-44,185,SPFGA,Federal Black Pack 36gr HP,"Still shooting about 1.5"" @ 50m.  Could maybe come 1"" right."
2021-05-02,GSG STG-44,30,SPFGA,Federal Black Pack 36gr HP,Finished zeroing the Falke for 50m
2021-05-02,Grey Birch,20,SPFGA,Sterling Cross,"50m, shooting about 3MOA low.  Optic was zeroed  using Federal Black Pack"
2021-05-02,Grey Birch,20,SPFGA,CCI SV,"50m, shooting about 2~3MOA low.  Optic was zeroed  using Federal Black Pack"
2021-05-02,Grey Birch,60,SPFGA,Federal Black Pack 36gr HP,50m zero
2021-05-04,Grey Birch,100,SPFGA,Federal Black Pack 36gr HP,100m.  +6MOA/-.5MOA
2021-05-04,GSG STG-44,55,SPFGA,Federal Black Pack 36gr HP,"Shooting at 100m.  Tried to zero the optic for 100.  Come right ~ 2MOA, up ~ 4MOA?"
2021-05-13,Grey Birch,200,SPFGA,Federal Black Pack 36gr HP,"Trued MV @19C - 1250fps.  Shot 25m standing, could put almost all 10 rounds into 3"" circle."
2021-05-24,Grey Birch,100,SPFGA ,Federal Black Pack 36gr HP,Shooting at 100m. Dialled in 5.25. Bullseye app suggested +1MOA (6.25 MOA).  Kestrel said +5.75MOA.  Ended up holding using subtensions around 6MOA.
2021-05-24,Grey Birch,20,SPFGA,CCI SV,Shooting at 100m.  Needed +11.25MOA
2021-06-05,G41,180,CHAS,230gr w/4.5gr HP-38,This load is too weak - it does not reliably cycle the action.  Some undeformed projectiles actually bounced back and hit me.
2021-06-05,GSG STG-44,195,CHAS,Federal Black Pack 36gr HP,"Was shooting unsupported at the 100m steel. Could reliably get hits on the 16""  places.  the 1/3 IPSC could be hit, but was harder."
2021-06-05,"MRA Renegade 16""",50,CHAS,Federal 55gr bulk,"Was shooting unsupported at the 100m steel. 6x was accurate,  At 3x - not so accurate."
2021-06-05,SXP,225,CHAS ,Assorted target loads,Ladies Day @ CHAS.  Jennifer said that extraction was a problem.
2021-06-07,Grey Birch,50,SPFGA,Eley Force,Gathering muzzle velocity.
2021-06-07,Grey Birch,60,SPFGA,CCI SV,Gathering muzzle velocity. Shooting at 150m.  +21MOA
2021-06-07,Grey Birch,120,SPFGA,Federal Black Pack 36gr HP,Muzzle Velocity. Shooting at 150m.  +13.75MOA (approx).  Windage was around 1.5MOA right
2021-06-11,Grey Birch,50,SPFGA,Federal Black Pack 36gr HP,Shooting at 50m. 23C. -0.5MOA Elevation. Good groups (as good as the Sterling Cross).
2021-06-11,Grey Birch,50,SPFGA,CCI SV,"Shooting at 50m. 23C. +2.5MOA Elevation. Kind of ""meh"" groups."
2021-06-11,Grey Birch,70,SPFGA,Sterling Cross,Shooting at 50m.  23C. +2.0MOA Elevation. Good groups (as good as the Federal 36gr)
2021-06-11,Grey Birch,50,SPFGA,Peter's .22LR,Shooting at 50m. 23C. +1.0MOA/-1.0MOA. Not bad groups
2021-06-14,Grey Birch,60,SPFGA,Federal Black Pack 36gr HP,"Rimfire silhouettes.  I think I was getting hit about 35% of the time?  +6MOA at 100, about +2.5MOA at 77, 0 MOA at 60 & 40"
2021-06-14,Grey Birch,20,SPFGA,Federal Black Pack 36gr HP,"Rimfire silhouettes.  I think I was getting hit about 35% of the time?  +6MOA at 100, about +2.5MOA at 77, 0 MOA at 60 & 40"
2021-06-28,Grey Birch,100,SPFGA,Sterling Cross,"RImfire silhouettes.  +6.5MOA@100m, +4MOA@77,+0.5MO@60, 0 MOA@ 40.  +32C.  "
2021-06-28,Grey Birch,20,SPFGA,Federal Black Pack 36gr HP,"RImfire silhouettes.  +6.5MOA@100m, +4MOA@77,+0.5MO@60, 0 MOA@ 40.  +32C.  "
2021-07-14,Remington 597,130,SPFGA,CCI SV,Zeroing the Remington 597 @ 50m.
2021-07-14,Remington 597,25,SPFGA,Federal Black Pack 36gr HP,1285 fps.  +26C. The rifle was zerod for the CCI SV.  Need to compare how high the Federal 36gr hits.
2021-07-26,Grey Birch,275,SPFGA,Sterling Cross,"25m. 22C. Needed +3.25MOA Elevation, +1MOA Wind.  Rapid MQT practice.  The scored target was 231.  Definate POI shift when I switched from the tri-mag to the single mags."
2021-08-02,Grey Birch,100,SPFGA,Federal Black Pack 36gr HP,"RImfire silhouettes.  +6.5MOA@100m, +4MOA@77,+0.0MO@60, 0 MOA@ 40.  +2C.  "